default;LivingStatus;EmploymentStatus;MonthlyIncome;external_score_1;external_score_2;time_to_first_trx;time_to_activation;opening_balance;closing_balance;amount_transaction_type1;amount_transaction_type2;amount_transaction_type3;amount_transaction_type4;amount_transaction_type5;amount_transaction_type6;amount_transaction_type7;amount_transaction_type8;amount_transaction_type9;amount_transaction_type10;amount_transaction_type11;amount_transaction_type12;amount_transaction_type13;amount_transaction_type14;amount_transaction_type15;amount_transaction_type16;amount_turnover_purchase;amount_turnover_betting;amount_turnover_cash;amount_turnover_money_transfer;repayment_amount
1;At Parents;Executive employee;1500;499;598;28;15;-984,56;-900,88;-19,31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-999
1;Unknown;Unknown;-1;610;554;23;10;-921,33;-900,88;-14,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70
1;Owner;Self-employed/freelancer;3000;583;323;15;5;-921,33;-806,51;-0,2;0;0;0;0;0;0;0;0;0;-450;0;0;-42;0;0;-1429,3;-10;-400;0;1010
1;At Parents;Employee;1500;336;762;17;6;-0,66;-788,32;-3,65;0;0;0;0;0;0;-129,84;-37,23;-7,7;-300;0;0;-300;0;0;-66,94;-500;-269,92;0;-999
1;Owner;Employee;2500;-1;284;139;91;-1040,26;-774,48;-7,58;0;0;0;0;0;0;0;0;-8,08;0;0;0;0;0;0;-10;0;0;0;80
1;Unknown;Unknown;-1;352;-1;85;71;-800,87;-774,48;-7,45;0;0;0;0;0;0;-6,89;0;0;-700;0;0;0;0;0;-7,94;0;-500;0;1650
1;Renter;Employee;2000;471;298;35;28;-948,94;-774,48;-8,54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-999
1;Renter;Executive employee;2000;512;323;35;13;-1040,79;-774,48;-0,23;0;0;0;0;0;0;-159,47;-147,1;-17,97;-450;0;0;0;0;0;-945,99;0;-400;0;1650
1;Renter;Retiree/pensioner;2000;609;373;608;531;-1660,46;-707,45;-8,76;0;0;0;0;0;0;-7,94;0;0;0;0;0;0;-1618,94;0;-197,99;0;0;0;135,05
1;Owner;Employee;1500;-1;428;35;7;-329,61;-692,44;-6,19;0;0;0;0;0;0;-17,2;0;0;-840;0;0;0;0;0;0;0;-1220;0;-999
1;At Parents;Executive employee;2500;-1;323;96;71;-340,53;-655,58;-4,65;0;0;0;0;0;0;-34,32;0;-84,65;0;0;0;0;0;0;-99,78;0;0;0;40
1;Unknown;Unknown;-1;-1;274;29;24;-421,74;-607,2;-12,94;0;0;0;0;0;0;-15,25;0;0;-650;0;0;0;0;0;-20,02;0;-700;0;-999
1;At Parents;Employee;1500;-1;375;27;13;-474,69;-607,2;-9,74;0;0;0;0;0;0;0;0;0;-500;0;0;0;0;0;0;0;-500;0;150
1;Owner;Other;1000;371;144;18;18;-421,74;-607,2;-4,48;0;0;0;0;0;0;-17,2;0;-25,25;-400;-57,68;0;0;0;0;-18,91;0;-402,99;0;-999
1;At Parents;Executive employee;1500;499;517;33;27;-505,87;-509,55;-4,88;0;0;0;0;0;0;0;0;-330,97;-80;0;0;0;0;0;-497,58;0;-80;0;50
1;Unknown;Unknown;-1;-1;274;76;40;-501,11;-507,32;-8,54;0;0;0;0;0;0;0;0;0;-10;0;0;0;0;0;0;0;0;0;-999
1;Unknown;Unknown;-1;-1;230;85;46;-528,23;-506,94;-8,37;0;0;0;0;0;0;-48,45;0;-33,46;-10;0;0;0;0;0;-173,26;0;-10;0;505,07
1;Owner;Employee;2000;494;845;34;25;-506,6;-506,12;-8,37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-999
1;At Parents;Employee;3000;291;284;21;4;-506,86;-505,74;-4,48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40
1;Renter;Executive employee;3000;-1;403;27;12;-461,26;-504,81;-0,23;0;0;0;0;0;0;-189;-70,31;-7,7;-840;0;0;-500;0;0;-945,99;0;-1220;0;1650
1;Owner;Employee;2500;349;410;27;13;-399,95;-503,09;-3,82;0;0;0;0;0;0;-57,44;0;-11,99;0;0;0;-100;0;0;-57,1;-105;0;0;0
1;At Parents;Self-employed/freelancer;2000;514;475;40;19;-505,87;-503,06;-7,92;0;0;0;0;0;0;0;-31,27;-19,08;0;0;0;0;0;0;-150;0;0;0;36,9
1;Renter;Unknown;1500;358;546;14;9;-498,6;-502,39;-7,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
1;Other;Self-employed/freelancer;1000;381;541;26;13;-576,55;-502,39;-15,79;0;0;0;0;0;0;0;0;0;0;0;0;-10;0;0;0;-25;0;0;20
1;Unknown;Unknown;-1;426;650;36;8;-497,24;-502,39;-8,54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60
1;Renter;Employee;2000;463;-1;93;40;-505,07;-501,74;-7,45;0;0;0;0;0;0;0;0;0;-10;0;0;0;0;0;0;0;-10;0;60
1;Renter;Employee;2500;348;661;28;14;-521,79;-499,75;-9,74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-999
1;Renter;Employee;1500;390;526;21;14;-534,39;-499,75;-6,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;464,81
1;Renter;Employee;2500;341;917;66;7;-200,32;-499,7;-4,24;0;0;0;0;0;0;-72,77;0;-17,97;-670;0;0;-100;0;0;-86,99;-100;-700;0;96
1;Renter;Employee;3000;482;1150;32;26;-488,53;-498,75;-8,5;0;0;0;0;0;0;0;0;0;-80;0;0;-13,5;0;0;0;-25;0;0;100
1;At Parents;Employee;2000;406;827;21;11;-271,39;-498,61;-3,54;0;0;0;0;0;0;-86,99;0;-91,2;-670;0;0;-150;0;0;-275,7;-105;-590;0;300,22
1;Renter;Employee;2500;431;431;25;18;-2,47;-498,61;0;0;0;0;0;0;0;-609,96;0;-227,9;-450;0;0;-24,97;0;0;-511,95;-20;-450;0;0
1;Owner;Employee;1500;-1;822;33;5;-564,34;-493,1;-7,71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100
1;Renter;Employee;2000;-1;706;314;-100;-564,34;-490,34;-8,55;0;0;0;0;0;0;0;0;0;-10;0;0;0;0;0;-15,57;0;-10;0;90
1;At Parents;Housewife;1500;406;526;26;17;-502,29;-490,34;-4,88;0;0;0;0;0;0;-17,2;0;-20;-20;0;0;0;0;0;-14,98;0;0;0;100
1;Renter;Employee;1500;-1;-1;17;12;-461,26;-481,39;-7,21;0;0;0;0;0;0;0;0;0;-100;0;0;0;0;0;0;0;-100;0;950,52
1;Renter;Unknown;1500;-1;349;78;67;-528,23;-472,04;-7,59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60
1;Unknown;Unknown;-1;489;348;60;36;-508,75;-472,04;-7,21;0;0;0;0;0;0;-9,99;0;0;-10;0;0;0;0;0;-7,79;0;-10;0;-999
1;Renter;Employee;1500;337;427;16;12;-461,02;-435,07;-6,37;0;0;0;0;0;0;0;0;0;-50;0;0;0;0;0;0;0;-55;0;500
1;Renter;Employee;1500;480;-1;38;18;-418,81;-435,07;-6,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-999
1;Renter;Executive employee;2000;503;323;77;21;-418,81;-408,04;-6,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150
1;Renter;Executive employee;2000;424;1150;114;41;-457,69;-406,26;-6,02;0;0;0;0;0;0;0;0;-76,2;-400;0;0;0;0;0;-125,72;0;-402,99;0;923
1;At Parents;Employee;2000;346;827;56;21;-461,02;-406,1;-6,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
1;Renter;Employee;1000;-1;-1;12;7;-461,26;-406,02;-7,54;0;0;0;0;0;0;0;0;0;0;0;0;-10;0;0;0;-12;0;0;50
1;Renter;Civil servants/governmental;3000;439;851;32;30;-439,19;-405,99;-5,93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60
1;Renter;Employee;2500;-1;790;47;33;-401,64;-405,56;-6,23;0;0;0;0;0;0;0;0;0;-30;0;0;0;0;0;0;0;-30;0;20
1;Renter;Employee;1500;399;747;54;43;-406,02;-405,56;-5,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50
1;Renter;Employee;2000;463;879;25;15;-405,7;-405,44;-6,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Renter;Executive employee;2000;355;669;12;5;-405,29;-405,1;-4,88;0;0;0;0;0;0;0;0;-20;-90;0;0;0;0;0;-19,9;0;-100;0;404,88
1;Renter;Executive employee;2500;441;1150;50;49;-439,19;-405,1;-5,93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-999
1;Renter;Employee;2000;306;545;33;15;-429,94;-405,01;-6,75;0;0;0;0;0;0;0;0;0;-10;0;0;0;0;0;0;0;-10;0;55
1;Unknown;Unknown;-1;425;650;36;16;-408,75;-405,01;-6,54;0;0;0;0;0;0;0;0;0;-10;0;0;0;0;0;0;0;-10;0;40
1;Renter;Employee;1500;251;783;55;47;-474,34;-404,48;-5,12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3,07;0;0;0;30
1;Other;Retiree/pensioner;1500;451;423;11;10;-405,91;-404,48;-15,79;0;0;0;0;0;0;0;0;0;-70;0;0;0;0;0;0;0;-80;0;400
1;Owner;Executive employee;2000;416;598;28;16;-234,61;-403,11;-3,82;0;0;0;0;0;0;-72,77;0;0;-10;0;0;0;0;0;-52,12;0;-10;0;60
1;Other;Employee;1500;-1;822;33;16;-401,64;-403,02;-15,82;0;0;0;0;0;-15,99;0;0;0;-30;0;0;0;0;0;-15,99;0;-10;0;80
1;At Parents;Employee;2000;406;782;23;15;-405,8;-402,49;-6,54;0;0;0;0;0;0;-9,81;0;0;-10;0;0;-10;0;0;-7,36;-12;-10;0;100
1;At Parents;Retiree/pensioner;-1;417;947;29;15;-430,35;-402,49;-6,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100
1;Renter;Employee;2000;-1;890;29;14;-461,41;-402,27;-5,94;0;0;0;0;0;0;0;0;0;0;0;0;-13,5;0;0;0;-12;0;0;25,36
1;Renter;Executive employee;1500;440;939;126;30;-431,05;-401,71;-0,23;0;0;0;0;0;0;-108,31;0;0;0;0;0;-936;0;0;-206,97;-447;0;0;500
1;Owner;Civil servants/governmental;2000;420;144;309;180;-457,37;-401,34;-6,37;0;0;0;0;0;0;-20;-10,3;0;0;0;0;0;0;0;-20;0;0;0;25
1;Renter;Housewife;2500;453;879;14;6;-271,39;-400,54;-2,7;0;0;0;0;0;-11,99;-86,99;0;-156,38;-1060;0;0;0;0;0;-103,59;0;-1060;0;100
1;Other;Unknown;-1;-1;252;24;15;-456,96;-399,43;-816,73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-600;-999
1;Renter;Employee;2000;466;574;61;46;-405,7;-398,49;-5,93;0;0;0;0;0;0;-7,59;0;0;0;0;0;0;0;0;-3,85;0;0;0;-999
1;Unknown;Unknown;1000;322;419;28;24;-576,55;-397,33;-6,68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
1;At Parents;Other;1000;350;411;51;46;-504,83;-397,33;-6,44;0;0;0;0;0;0;-9,81;0;0;0;0;0;0;0;0;-8,29;0;0;0;-999
1;At Parents;Self-employed/freelancer;2000;461;348;34;24;-0,56;-390,09;-2,87;0;0;0;0;0;0;0;0;0;-290;0;0;0;0;0;0;0;-300;0;0
1;Unknown;Unknown;-1;371;498;32;15;-388,61;-387,45;-5,61;0;0;0;0;0;0;0;0;-19,9;0;0;0;0;0;0;-24,96;0;0;0;-999
1;Renter;Civil servants/governmental;1500;436;894;40;25;-506,61;-387,01;-5,12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
1;Renter;Employee;1500;-1;298;27;13;-380,21;-386,98;-6,3;0;0;0;0;0;0;-25,67;0;0;0;0;0;0;0;0;-42,95;0;0;0;60
1;Unknown;Unknown;-1;346;315;10;10;-407,05;-386,98;-4,26;0;0;0;0;0;0;-38,59;0;-34,21;0;0;0;-12,99;0;0;-130,2;-1;0;0;-999
1;Unknown;Unknown;-1;-1;1150;206;4;-396,51;-383,36;-5,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40
1;Renter;Employee;1500;340;519;16;11;-461,02;-383,36;-8,14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-999
1;Other;Employee;2000;425;782;25;16;-406,02;-383,36;-15,84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Renter;Executive employee;2000;288;767;14;4;-396,51;-374,69;-4,28;0;0;0;0;0;0;-29,19;0;-18,85;-10;-28,74;0;0;0;0;-32,35;0;-10;0;100
1;Owner;Executive employee;2500;406;298;21;16;-502,29;-369,88;-1,03;0;0;0;0;0;0;-76,86;0;0;-10;0;0;0;0;0;-945,99;0;-10;0;339,58
1;Unknown;Unknown;-1;315;629;29;13;-392,77;-361,26;-5,41;0;0;0;0;0;0;0;0;0;-10;0;0;0;0;0;0;0;-10;0;20
1;Renter;Self-employed/freelancer;1000;307;348;22;15;-401,87;-355,88;-1,48;0;0;0;0;0;0;0;0;-70,2;-20;0;0;0;0;0;-93,9;0;-20;0;-999
1;Unknown;Unknown;-1;434;148;59;47;-161,93;-347,37;-0,22;0;0;0;0;0;0;-66,4;0;-40,3;0;0;0;0;0;0;-126,72;0;0;0;-999
1;Unknown;Unknown;-1;457;488;29;17;-154,03;-347,37;0;0;0;0;0;0;0;0;0;0;-115,25;0;0;0;0;0;-206,97;0;-100;0;1,58
1;Renter;Executive employee;2000;448;-1;19;20;-404,29;-327,6;-0,55;0;0;0;0;0;0;0;0;-70,2;-20;0;0;0;0;0;-174,55;0;0;0;65,08
1;Unknown;Self-employed/freelancer;3000;433;348;53;33;-2,47;-313;-2,87;0;0;0;0;0;-100,99;-1,69;0;0;-300;0;0;0;0;0;-15,99;0;-300;0;202
1;Renter;Civil servants/governmental;2000;445;894;18;13;-325,53;-303,77;-5,41;0;0;0;0;0;0;0;0;-76,2;0;0;0;0;0;0;-148,29;0;0;0;40
1;Unknown;Unknown;-1;315;852;79;81;-318,27;-303,03;-4,76;0;0;0;0;0;0;0;0;-8,99;0;0;0;0;0;0;-6,75;0;0;0;-999
1;Unknown;Unknown;-1;426;751;62;17;-303,19;-303,03;-5,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40
1;Renter;Civil servants/governmental;1500;-1;375;19;14;-380,32;-303;-6,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-999
1;At Parents;Employee;3000;291;-1;21;12;-297,51;-302,55;-6,3;0;0;0;0;0;0;0;0;0;0;0;0;-7,99;0;0;0;0;0;0;40
1;Renter;Employee;1500;306;402;54;47;-300;-302,55;-3,36;0;0;0;0;0;0;-38,59;0;-18,85;0;0;0;-7,99;-14,4;0;-197,99;0;0;0;832,82
1;Renter;Employee;2000;465;574;56;46;-331,37;-302,47;-3,09;0;0;0;0;0;0;0;0;-24,96;-200;0;0;0;0;0;-15,98;0;-200;0;-999
1;Renter;Civil servants/governmental;2000;371;583;22;11;-342,4;-296,56;-6,2;0;0;0;0;0;0;0;0;0;-10;0;0;0;0;0;0;0;-10;0;1,71
1;Owner;Employee;1500;-1;571;139;81;-310,15;-294,23;-3,36;0;0;0;0;0;0;-5,17;0;0;-200;0;0;0;0;0;-8,29;0;-220;0;100
1;Renter;Employee;1500;371;583;32;13;-377,59;-291,69;-5,32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Renter;Executive employee;2000;290;767;13;9;-101,42;-287,02;-1,84;0;0;0;0;0;0;0;0;0;-200;0;0;0;0;0;0;0;-190;0;305
1;Renter;Other;1000;322;298;30;19;-120,11;-286,72;-1,19;0;0;0;0;0;-15,99;-0,75;0;-70,2;0;-11,2;0;0;0;0;-519,79;0;0;0;135,05
1;Renter;Employee;2500;-1;890;49;21;-329,61;-284,52;-6,19;0;0;0;0;0;0;0;0;-76,2;0;0;0;0;0;0;-107,1;0;0;0;295
1;Renter;Self-employed/freelancer;2500;459;819;13;9;-199,08;-283,44;-0,55;0;0;0;-1429,3;0;0;-25,85;0;0;0;0;0;0;0;0;-64,45;0;0;0;25
1;Renter;Executive employee;2500;442;1150;50;21;-1,03;-282,89;-3,65;0;0;0;0;0;0;-1,69;0;0;-290;0;0;0;0;0;0;0;-290;0;0
1;Renter;Employee;1500;436;-1;53;40;-326,51;-280,92;-5,2;0;0;0;0;0;0;-7,59;0;0;0;0;0;0;0;0;-8,29;0;0;0;-999
1;Owner;Executive employee;2500;265;761;14;3;-198,87;-278,46;-4,28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60
1;Renter;Employee;1500;-1;-1;17;9;-380,21;-274,91;-5,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60
1;Unknown;Unknown;-1;346;315;32;17;-380,32;-274,91;-5,41;0;0;0;0;0;0;0;0;-14,99;0;0;0;-12,99;0;0;-14,99;0;0;0;40
1;Renter;Civil servants/governmental;1500;368;322;22;11;-380,32;-274,91;-5,41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-999
1;Unknown;Unknown;-1;434;348;36;17;-404,29;-274,91;-5,73;0;0;0;0;0;0;0;0;0;-10;0;0;0;0;0;-2,96;0;-10;0;-999
1;At Parents;Other;1000;-1;588;33;19;-279,03;-263,69;-4,65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-999
1;Renter;Employee;2000;299;-1;32;18;-297,51;-203,01;-4,65;0;0;0;0;0;0;0;0;-29,99;0;0;0;0;0;0;-26,84;0;0;0;-999
1;Renter;Employee;2000;-1;706;442;18;-189,77;-202,96;-3,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-12,66;0;0;0;-999
1;Renter;Executive employee;2000;355;669;12;10;-263,93;-202,96;-5,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-999
1;Renter;Executive employee;2000;370;671;28;11;-200,91;-202,96;-2,91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-999
1;At Parents;Executive employee;1000;-1;602;23;5;-198,87;-200,82;-0,44;0;0;0;0;0;0;-108,31;0;-91,2;-30;-1,9;0;0;0;0;-275,7;0;-82,99;0;150,08
1;Unknown;Employee;2500;316;517;36;16;-246;-200,12;-0,75;0;0;0;0;0;0;-212,57;0;0;0;0;0;0;0;0;-196,14;0;0;0;150,08
1;At Parents;Executive employee;2000;-1;792;29;15;-193,77;-199,68;-2,32;0;0;0;0;0;0;-25;0;0;-70;0;0;0;0;0;-29,19;0;-70;0;-999
1;Renter;Employee;2000;289;1150;33;33;-200,06;-199,68;-2,83;0;0;0;0;0;0;0;0;0;-200;0;0;-20;0;0;-1,05;-11;-190;0;70
1;Other;Employee;1500;325;459;482;435;-196,62;-199,45;-5,51;0;0;0;0;0;0;0;0;-8,08;0;0;0;0;0;0;-9,99;0;0;0;20
1;Renter;Unknown;1500;295;574;42;29;-279,03;-199,36;-1,38;0;0;0;0;0;0;0;0;-11,92;0;0;0;0;0;0;-9,99;0;0;0;-999
